인생존망,"학교 다닐때 그렇게 놀았으면,  졸업하고 지금은 불행해야하는거 아니야? 너 때문에 망한 내인생, 너도 한번 당해봐 ,   에피소드, 액션  15세 이용가"
뷰티풀 군바리,"'여자도 군대에 간다면?'본격 여자도 군대 가는 만화! 본 작품은 2014 네이버 수퍼루키 공모전 당선작품입니다. ,   스토리, 드라마  15세 이용가"
윈드브레이커,"자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마 ,   스토리, 스포츠  12세 이용가"
소녀의 세계,"완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나 여러 갈등을 함께 겪으며 진짜 친구가 되어가는데... ,   스토리, 드라마  전체연령가"
백수세끼,"이별 뒤에도 밥은 넘어간다. 백수 재호가 먹는 세끼 ,   스토리, 드라마  전체연령가"
파이게임,"시간이 흐르면 돈이 쌓인다. 피가 흐르면 시간이 쌓인다. ,   스토리, 스릴러  15세 이용가"
장씨세가 호위무사,"‘당신이 부른 것이오. 나란 사람을... ’ 은둔고수 광휘. 호위무사 되다! ,   스토리, 시대극  12세 이용가"
앵무살수,"진시황이 남긴 비서 선근경!  비서를 둘러싼 살수행이 시작된다 ,   스토리, 판타지  15세 이용가"
야자괴담,"어느 날 듣게 된 우리 학교의 야자 괴담.  그날 밤, 괴담이 현실이 되어 나를 찾아왔다. ,   옴니버스, 스릴러  12세 이용가"
유일무이 로맨스,"평범한 취준생 공유일의 일상에 인기절정 탑배우 탁무이와 아이돌 류민이 침범해오기 시작했다!  사심가득 탑스타♥ ,   스토리, 로맨스  전체연령가"
칼가는 소녀,"치사율 100%의 인싸 희귀병 소녀 '사랑' 누구보다 차분하고 두려움 없는 같은 반 소녀 '은조' 두 소녀가 가슴 속 칼을 품고 세상을 향한 복수를 꿈꾼다. 네이버웹툰 최강자전 18년 대표작. ,   에피소드, 드라마  12세 이용가"
오늘의 순정망화,"그마고 초엘리트집단 삼국시대 앞에 나타난 전학생 가야! 가야의 마음을 얻는 건 누구? ,   에피소드, 개그  전체연령가"
신의 탑,"자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년 그리고 그런 소년을 시험하는 탑 ,   스토리, 판타지  12세 이용가"
평범한 8반,"안 평범한 아이들이 모인 평범한 8반 고품격 웰메이드 병맛을 느껴보세요 ,   스토리, 드라마  15세 이용가"
히어로메이커,"왕은 영웅이 되고 싶어하는 공주의 소원을 들어주기로 전격 결심! 공주를 속이고 마치 영웅이 된 것처럼 만들기 위해 온 나라가 연극을 하게 되는데..파란만장한 그들만의 눈물겨운 영웅만들기의 대장정이 펼쳐집니다~ ,   옴니버스, 판타지  전체연령가"
링크보이,"약육강식의 무법도시. 잘못된 이 도시를 바로잡는다. ,   스토리, 판타지  12세 이용가"
데드라이프,"지능을 가진 좀비, 세상을 파멸시킬 것인가 구원할 것인가. ,   스토리, 액션  15세 이용가"
사장님을 잠금해제,"얼떨결에 죽어 스마트폰이 된 39살 대기업 천재 CEO 선주, 얼떨결에 그 스마트폰을 주운 29살 취준생 인성, 아홉수 두 사람이 힘을 합쳐 살인범을 찾는다. ,   스토리, 개그  전체연령가"
교환일기,"인싸로 살아가던 여대생 한나무,  생일파티에 가던 길에 교통사고를 당하고... 왕따 여중생이 되어 깨어나다. ,   스토리, 드라마  12세 이용가"
침범,"​6살이라고 생각하기 힘들만큼 잔혹성을 보이는 '소현', 왠지 모를 꺼림칙함이 느껴지는 고독사 청소업체 직원 '민' 그녀를 만난 후, 내 삶이 무너지기 시작했다. ,   스토리, 스릴러  18세 이용가"
지옥,"어느날 갑자기 인간들이 직면한 기적인지 저주인지 알 수 없는 초자연적 현상. 감당할 수 없는 현실을 감당하기 위해 사람들이 만들어 가는 지옥. 부산행 '연상호' 감독과 '송곳'의 최규석 작가가 만났다! ,   에피소드, 스릴러  15세 이용가"
닥터 하운드,"인간의 생각과 감정 그리고 죽음의 흔적까지 꿰뚫어 보는 눈을 가진 남자 '하운드' 그 앞에 벌어지는 기괴한 연쇄 자살 사건! ,   스토리, 스릴러  18세 이용가"
아는 여자애,"내게는 운명, 그애에겐 아는 여자애 ,   스토리, 로맨스  전체연령가"
삶이 우리를 속일지라도,"재벌 3세들과 친해진 가난한 대학생! 그녀는 솔직해질 수 있을까? ,   스토리, 로맨스  전체연령가"
결혼생활 그림일기,"조용할 날 없는 우당탕탕 두 짐승의 결혼생활 이야기! ,   옴니버스, 일상  전체연령가"
서브 콤플렉스,"눈 떠보니 순정만화 여자주인공!  여자 주인공이 되었지만 서브 남주가 더 좋아! ,   에피소드, 로맨스  전체연령가"
일진이 사나워,"갑작스러운 고백으로 만난 나와 정반대인 남자친구. 우리... 왜 사귀는거지? ,   스토리, 드라마  12세 이용가"
이것도 친구라고,"내 평범한 일상을 조여오는 시한폭탄 같은 녀석들이 찾아왔다!  파란만장한 청춘 라이프 ,   스토리, 드라마  전체연령가"
꿈의 기업,"문명을 지배하는 거대기업과  거대기업을 움직이는 인공지능. 그 인공지능이 꿈을 꾸기 시작했다. ,   스토리, 스릴러  12세 이용가"
리턴 투 플레이어,"어느 날, 게임이 되어버린 세상. 갑자기 나타난 몬스터들이 사람들을 죽이고, 사람들은 플레이어가 되어  퀘스트를 달성해야 한다! 인류의 종말에서 회귀한 2회차 플레이어, 김세한. 그는 과연 세상을 이렇게 만든 '시스템'을 쳐부술 수 있을까! ,   스토리, 판타지  15세 이용가"
드로잉 레시피,"나만의 붓을 잡기 위해 떠난 용서와 성장의 힐링여행 ,   스토리, 감성  전체연령가"
위대한 방옥숙,"한강 조망권 지키려다가 한강에 시체를 유기한 여자들의 이야기. ""내 집값은 내가 지킨다!"" &lt;마스크걸&gt; 매미/희세 작가의 신작! ,   스토리, 드라마  12세 이용가"
피플,"평범한 삶을 원하는 선장과 선원들. 바다 한 가운데서 펼쳐지는 그들의 긴박한 이야기. ,   스토리, 드라마  12세 이용가"
도플갱어의 게임,"여고에서 시작된 시한폭탄 같은 게임!  수업종료종이 울릴 때마다, 한 명씩 영혼을 빼앗긴다. ,   스토리, 스릴러  15세 이용가"
와이키키 뱀파이어,"고졸 검정고시를 준비 중인 야식 배달원 뱀파이어 김군.  어느 날 그는 잘못된 주소로 배달을 갔다가  그곳에서 뱀파이어로 추정되는 한 여자와 마주치게 되는데… ,   스토리, 드라마  12세 이용가"
정보전사 202,"간첩 202호! 작전명 한라혈통! 관종의 임무를 완수하고 자유를 얻어라. ,   스토리, 액션  12세 이용가"
노력의 결과,"완벽주의 아버지 밑에서 자란 재경,  이번 시험에서도 전교 1등을 사수해야 한다. ,   스토리, 스릴러  전체연령가"
원하는 건 너 하나,"대기업 경영권을 물려받으려면 5년 전 자신을 떠난 은율과 결혼해 1년 이상 살아야 한다는 할아버지의 유언. 배신의 상처가 아직 크지만 어쩔 수 없이 5살 아이를 홀로 키우고 있는 은율과 어색한 동거를 시작하게 된다. ,   에피소드, 일상  12세 이용가"
여기 악마가 있어,"게임회사의 인사팀에서 일하게 된 1년 차 직장인 조승훈. 인간의 모습을 한 악마 상사와 함께 회사를 급성장시키게 되는데… 성장의 이면에 있는 악마의 진짜 목표는 무엇이며,  이를 깨달은 인간은 과연 어떤 선택을 하게 될 것인가. ,   스토리, 액션  전체연령가"
지구멸망버튼,"갑자기 생겨난 의문의 빨간 버튼 그리고 필사적으로 버튼을 지켜내려는 자들 빨간 버튼을 누르면 지구가 멸망한다고!? ,   스토리, 액션  12세 이용가"
두근두근 네가 좋아서,"모든 게 완벽한 탑스타 서건우, 만만치 않은 신인 민서연에게 반해버렸다. ,   스토리, 로맨스  전체연령가"
하슬라,"일곱 번 타인의 삶을 구하면 한 번의 살인이 무죄가 되는 도시 하슬라. 처절한 복수를 꿈꾸는 도진. '피의 도시' 하슬라에서 사마리안이 되다. ,   스토리, 액션  15세 이용가"
뱀파이어의 꽃,"500년 만에 인간 세상에 나타난 뱀파이어, 루베르이와 인간 계약자 서영의 '뱀파이어 꽃'을 찾는 숨 막히는 모험과 사랑을 그린 뱀파이어 로맨스. ※본 작품은 시리즈 오리지널 작품으로 네이버웹툰에서 듀얼연재됩니다.※ ,   스토리, 로맨스  12세 이용가"
백호랑,"서쪽의 신수 백호랑. 과거의 죄를 씻기 위해 인간계에서 하늘의 심부름을 수행중 ,   스토리, 판타지  전체연령가"
중독연구소,"중독 가정에서 자라온 소년, ‘김태림’은 중독 전문병원에 입사를 하게 되면서 자신의 문제를 바라보게 된다. 우리 모두의 중독 이야기, 당신은 무엇에 중독이 되어있나요? ,   옴니버스, 드라마  전체연령가"
물레,"첫 술자리에서 전과 선언. 이거 내 얘기 아니지..? ,   스토리, 드라마  12세 이용가"
모락모락 왕세자님,"온천마을에 찾아온 꽃미남 왕세자일행과 신비한 힘을 가진 소녀의 판타지 로맨스 ,   스토리, 로맨스  전체연령가"
결백한 사람은 없다,"15년 전 실종된 아이가 돌아왔다. 초능력을 가진 순경의 아동실종 심리 수사극 ,   스토리, 드라마  전체연령가"
블루투스,"탐사선의 폭발! 우주 한가운데 홀로 남겨진 우주 비행사. ,   스토리, 판타지  전체연령가"
인간의 온도,"형사와 기자 그리고 이상한 소년. 일어나선 안 될 사건들. ,   스토리, 드라마  15세 이용가"
여신강림,"누구에게나 비밀은 있다!  그렇다면 여신에게는 어떤 비밀이?! ,   스토리, 로맨스  12세 이용가"
한림체육관,"세상에서 가장 강한 남자가 되고 싶다 ,   에피소드, 액션  15세 이용가"
후기,"무가지에 연재되던 삼류 소설이 사실은 누군가의 살인 후기였다! ,   스토리, 스릴러  12세 이용가"
바른연애 길잡이,"바른 생활 만렙 정바름 연애는 레벨 1부터?! 2017 &lt;청춘로맨스 대전&gt; 최우수상 수상작 ,   스토리, 로맨스  전체연령가"
랜덤채팅의 그녀!,"랜덤채팅만 하던 준우에게 온 기적! 과연 그녀에게 다가갈수 있을까?! ,   스토리, 드라마  15세 이용가"
사신소년,"수명을 대가로 죽은 자의 능력을 빌리는 소년 ,   스토리, 액션  15세 이용가"
하루만 네가 되고 싶어,"'완벽한 인생이었다, 그 애가 나타나기 전까지는' 반전에 반전을 거듭하는 치밀한 궁중 서스펜스 네이버웹툰 최강자전 19년 대표작. ,   스토리, 판타지  전체연령가"
헬58,"약육강식의 섬 헬58에서 벌어지는 권력다툼과 암투, 배신.  주인공 서민은 이 지옥같은 섬에서 과연 희망을 찾고 탈출할 수 있을까? ,   스토리, 액션  18세 이용가"
신도림,"세상이 무너지고 세워진 지하도시 신도림 그곳에 들어가지 못하고 생존한 소년들이 지하도시의 비밀을 파헤친다 ,   스토리, 액션  15세 이용가"
중증외상센터 : 골든 아워,"살 수 있는 환자들이 죽어 가고 있다. 이제 더는 그런 일이 없도록 하겠다. 사명감 있는 또라이. 중증외상센터의 난폭한 천사.  외상외과 전문의 백강혁, 그의 중증외상센터 되살리기 프로젝트. ,   스토리, 드라마  15세 이용가"
삼국지톡,"""유비, 조조, 손권 등 영웅들이 활약하던 후한, 그 난세에 핸드폰이 있었다면? 메신저로 소통하고, 개인 방송으로 군사를 모집한다!  이제껏 보지 못한 완전히 새로운 삼국지!"" ,   에피소드, 시대극  12세 이용가"
원주민 공포만화,"끝까지 방심하지 말 것! 당신의 상상을 뛰어넘는 본격 반전 공포 스릴러가 온다! ,   스토리, 스릴러  15세 이용가"
피와 살,"멸종 위기에 처한 인간. 인간을 먹고 사는 괴물. 생존을 위한 그들의 전쟁 혹은 공생. ,   스토리, 스릴러  18세 이용가"
집이 없어,"집을 버리고 뛰쳐나간 고해준, 집 없이 텐트 생활하는 문제아 백은영.  악연으로 만난 두 사람은 버려진 옛날 기숙사에서 함께 살게 되는데..  기숙사도 서로도 싫지만 돌아갈 곳이 없는 두 사람의 힘든 성장 이야기 ,   스토리, 드라마  전체연령가"
윌유메리미,"외모는 상남자, 마음은 감성소녀 윌.외모는 청순녀, 마음은 터프가이 메리!  서울 부산 띠동갑 커플의 리얼 연애 일기 ,   에피소드, 일상  전체연령가"
체크포인트,"내 인생에 세이브 포인트가 있다면? 하루에도 수십 번씩 시간을 되돌리는 남자. ,   스토리, 드라마  12세 이용가"
관계의 종말,"&lt;타인은 지옥이다&gt; 김용키 작가의 신작! 여자친구와 함께 떠난, 비경에 숨겨진 펜션으로의 여름휴가. 하지만 불쾌한 펜션 주인을 시작으로 주인공의 트라우마를 끄집어내는 끔찍한 만남들이 이어진다. 지옥으로 치닫는 사건과 사고.. 이제 모든 것을 끝낼 때가 왔다. ,   스토리, 스릴러  15세 이용가"
견우와 선녀,"죽음이 가까워진 사람들은 '거꾸로' 걸어들어 온다 그리고 그게 하필 내 이상형이라니!? ,   스토리, 드라마  전체연령가"
어글리 피플즈,"내가 이렇게 불행한 이유?  모든 것은 지긋지긋한 외모지상주의 때문이야. ,   스토리, 스릴러  15세 이용가"
사이드킥 2~3,"슈퍼히어로의 조수 '사이드킥'  악당 빌런들과 맞서 싸우는 슈퍼히어로와 사이드킥들의 이야기! ,   스토리, 판타지  15세 이용가"
땅 보고 걷는 아이,"나는 항상 주눅들어있는 아이였다. 폭력이 나에게 미친 영향에 대한 이야기. ,   스토리, 드라마  15세 이용가"
용왕님의 셰프가 되었습니다,"인당수에 몸을 던진 심청! 귀차니즘 드래곤의 던전에서 깨어나다? 사연 많은 귀염뽀짝 몬스터와 맛있는 공생라이프! ,   스토리, 판타지  전체연령가"
언메이크,"멀지 않은 미래, 미세먼지 폭풍으로 인류는 맑은 공기를 잃었다. 목에 이식하는 기생 필터의 개발로 위기를 극복했다고 생각했지만, 기생 필터가 변이를 일으키며 세상은 다시 한번 위기에 빠지는데... ,   스토리, 판타지  15세 이용가"
3cm 헌터,"세상 사람들의 몸이 3cm로 줄어들었다.  이제는 고양이, 개미, 청소기 등 일상의 모든 것이 위협인 상황. 믿을 것은 각자에게 주어진 이능력 하나뿐이다. ,   스토리, 판타지  15세 이용가"
악마와 계약연애,"아무것도 원하지 않는 인간 한나. 갑자기 나타난 악마와 영혼을 걸고 계약을 하게 되다?! ,   스토리, 로맨스  12세 이용가"
신의 언어,"퇴마계의 신개념 영웅! 프로그래머 난새의 마계 전투가 시작된다! ,   스토리, 판타지  12세 이용가"
문래빗,"수 세기 전 용왕에게 몰락한 토끼일족 피의 복수를 위해 전학 온 인간 병기 도생원의 해신고 정복기 ,   스토리, 개그  12세 이용가"
제로게임,"인생 재건설 서바이벌 2015 대학만화 최강자전 수상작! ,   스토리, 판타지  12세 이용가"
정년이,"가진 것 없고 배운 것 없지만, 소리 하나만큼은 타고난 목포 소녀 정년!  정년의 꿈은 여성 국극단에 들어가 부자가 되는 것인데…  배워야 할 것은 많고, 주연 배우 자리는 멀기만 하다.  과연 정년은 대 스타가, 부자가 될 수 있을까? ,   스토리, 드라마  전체연령가"
그놈은 흑염룡,"요즘 것들은 랜덤채팅 한다고?  2000년대엔 게임 ♨정모♨가 있었다! 그곳에서 만난 그 남자 흑.염.룡. ,   스토리, 로맨스  전체연령가"
한강예찬,"겉보기엔 좋아보이지만 속은 썩었어! 가식에 지친 현대인의 현타 도미노. 고교동창생 한세련/강아영/예은지/차안나의 관계, 그리고 이야기. ,   스토리, 드라마  12세 이용가"
오파츠,"이 세상에 존재할 수 없는 물건인 ‘오파츠’를 소유한 이들.  그들이 살아가는 세상인 경계의 밖(Out), 그곳에서 일어난 수많은 특별한 이야기. ,   스토리, 판타지  12세 이용가"
은주의 방 2~3부,"인테리어에서 연애까지, 은주의 라이프 체인지 스토리 ,   스토리, 드라마  전체연령가"
ㅋㄷㅋㄷ만화,"본 컨텐츠는 질병관리본부의 브랜드 웹툰으로 곽백수 작가가 전하는 HIV/AIDS(에이즈) 예방 캠페인입니다. ,   에피소드, 일상  전체연령가"
완벽한 가족,"누가 봐도 행복하고 완벽한 선희네 가족. 어느 날, 선희는 친구 경호를 죽였다는 고백을 하지만 엄마의 반응이 뭔가 이상하다. ,   스토리, 스릴러  15세 이용가"
올가미,"너의 지독한 덫에 빠져들다. ,   스토리, 드라마  15세 이용가"
숲속의 담,"어느 순간부터 성장이 멈춘 '담'은 사람들을 피해 숲속으로 떠난다. ,   스토리, 감성  전체연령가"
그날 죽은 나는,"눈에 띄게 변해버린 그 아이, 무슨 일이 있었던 걸까? ,   스토리, 드라마  12세 이용가"
자판귀,"자판기에서 내가 원하는 것이 나온다!? &lt;2017 네이버 최강자전&gt; 우수상 수상작 ,   에피소드, 스릴러  전체연령가"
패밀리 사이즈,"삼형제와 이제막 태어난 막내딸까지! 결혼 십 년 차에 가족의 규모(패밀리 사이즈)가 부쩍 커진 한 만화가 부부의 육아와 삶 이야기 ,   에피소드, 일상  전체연령가"
도를 아십니까,"전래동화가 이렇게 꼬인다고? 제대로 약빤(?) 이야기가 시작된다 ,   스토리, 판타지  12세 이용가"
별종,"지구에 방문한 이방인. 그가 몰고 온 불행의 시작. ,   스토리, 드라마  15세 이용가"
너에게만 보이는,"나의 위로가 너에게 닿기를!  당신의 마음을 치유하는 판타지 로맨스 ,   스토리, 드라마  전체연령가"
저세상 클라스!,"할머니와 몸을 공유해야하는 일진짱 그런데 이 할머니도 보통이 아니다 일진짱의 진정한(?) 이중생활! ,   스토리, 액션  전체연령가"
조선홍보대행사 조대박,"냉혈한 광고홍보의 귀재 조선 시장에서도 성공할 수 있을까? ,   스토리, 개그  전체연령가"
안식의 밤,"노인들을 대상으로 한 연쇄 살인 사건의 전말 '나는 할머니를 죽이지 않았어요!!' ,   스토리, 스릴러  15세 이용가"
필살VS로맨스,"무협 만화 같은 여자 ‘유비’. 순정 만화 같은 남자 ‘신우’. 자신의 장르대로 살아가던 두 사람의 순탄치 않은 썸타기! 만화의 정석대로 해피엔딩을 이룰 수 있을까?! ,   스토리, 개그  전체연령가"
아이고 아이고,"자유분방한 삶을 살던 가수 지망생. 불의의 사고를 겪고 장례지도사가 되기를 결심한다. ,   스토리, 드라마  전체연령가"
장단에 맞춰줘!,"초단신 보람과 일진농구부 최겸의 너무 다른 반전 개그 로맨스! ,   스토리, 로맨스  12세 이용가"
빛빛빛,"우리가 다시 만난다면, 나는 다른 선택을 할 수 있을까 엇갈린 첫사랑과의 재회 ,   스토리, 로맨스  전체연령가"
에이머,"작은 우연은 역사를 만든다. 지구를 침공한 이성인 팜킨 일당과, 그들을 막아선 초월자 에이머와 지구인의 이야기! ,   스토리, 판타지  전체연령가"
하우스키퍼,"사상 최악의 바이러스. 인간은 포기했지만 A.I만은 포기하지 않는다 ,   스토리, 액션  15세 이용가"
고수,"&lt;용비불패&gt; 최강의 콤비가 무협의 전설을 다시 쓰다!  천하제일의 고수 강룡. 그리고 수많은 다른 고수들의 이야기. ,   스토리, 액션  15세 이용가"
복학왕,"패션왕 우기명이 돌아왔다! 즐거운 대학 생활?! 과연?! ,   스토리, 드라마  15세 이용가"
헬퍼 2 : 킬베로스,"역시는 역시 역시군. 킬베로스 트라이브의 대장 장광남이 펼치는 스트릿 액션 만화. ,   스토리, 액션  18세 이용가"
2020 최애캐의 MBTI,"사랑, 갈등, 눈물.. 그래서 그랬구나 내가 좋아하는 웹툰 주인공, 어떤 타입일까? 최애캐들의 MBTI를 기대해주세요! ,   에피소드, 일상  전체연령가"
전지적 독자 시점,"'이건 내가 아는 그 전개다' 한순간에 세계가 멸망하고, 새로운 세상이 펼쳐졌다. 오직 나만이 완주했던 소설 세계에서 평범했던 독자의 새로운 삶이 시작된다. ,   스토리, 판타지  15세 이용가"
모죠의 일지,"소신있는 취향과 내성적인 성향. 훌륭한 집순이 모죠의 은밀한 비밀들 ,   에피소드, 개그  전체연령가"
튜토리얼 탑의 고인물,"저주로 인해 튜토리얼 탑에 갇힌 헌터. 12년 만에 탑을 나가다! ,   스토리, 액션  12세 이용가"
격기3반,"한국이 세계 격투기의 중심이 된 세상. 전국 탑 클래스 격투기 학생들만 모인 남일고에 약골 소년 주지태가 돌연 투입된다. 신체적 약점이 상쇄되는 무술 ‘주짓수’를 통해, 주지태는 격기반의 정점에 오를 수 있을 것인가…? ,   스토리, 스포츠  15세 이용가"
연놈,"중2 여름, 가지 말라는 말도 좋아했다는 말도 하지 못한 채 보낸 그녀가 3년 만에 나타났다. 지나버린 시간과 마주한 소년 그리고 소녀의 이야기 ,   스토리, 드라마  12세 이용가"
여주실격!,"'약'한 여배우 천리사 더이상 배우같은건 하고 싶지 않다던 그녀의 복귀 스토리! ,   스토리, 드라마  15세 이용가"
일렉시드,"&lt;노블레스&gt; 손제호 작가와 &lt;소녀더와일즈&gt; 제나 작가가 만났다! 고양이 몸에 깃든 각성자 카이든과 각성능력을 숨겨온 고등학생 지우  러블리 2인조의 액션 판타지 ,   스토리, 액션  12세 이용가"
